country,code,gdp2019q4,gdp2020q1,gdp2020q2
Albania,ALB,-0.10223317,-2.52320914,
Argentina,ARG,-1.09689288,-5.42069087,
Armenia,ARM,7.5,3.9,-13.7
Australia,AUS,2.1921588,1.50649968,-6.42485681
Austria,AUT,0.8390983,-2.83070715,-12.52597608
Azerbaijan,AZE,-0.50265658,0.17172603,
Bahrain,BHR,-0.44189859,-1.11974841,
Belarus,BLR,1.64814475,-0.15081499,
Belgium,BEL,1.33136992,-2.30893945,-14.45890692
Bolivia,BOL,1.0576778,0.55989554,
Bosnia and Herzegovina,BIH,1.68461922,1.96941355,
Botswana,BWA,1.62911686,2.61558746,
Brazil,BRA,1.66815895,-0.2511932,-11.4355379
Brunei,BRN,7.09707345,2.39318533,
Bulgaria,BGR,2.89590719,1.18749961,
Canada,CAN,1.24338155,-0.45821283,-11.99054863
Chile,CHL,-2.14433087,0.23549138,-14.1138323
China,CHN,6,-6.8,3.2
Colombia,COL,3.52355825,1.35888795,-15.74803922
Croatia,HRV,2.46848317,0.4050187,-15.13383317
Cyprus,CYP,3.4381704,0.88338875,-11.91194154
Czech Republic,CZE,1.65579528,-1.71484118,
Denmark,DNK,2.11608357,-0.15405803,-8.10335651
Ecuador,ECU,-1.01506127,-2.42060064,
Egypt,EGY,5.6466877,5.00410172,
Estonia,EST,5.33983634,-0.69085001,-6.90969942
European Union,EU,1.15382532,-2.42007107,
Finland,FIN,0.81111741,-1.44553328,-6.39645345
France,FRA,0.7,-5.3,-19.2
Georgia,GEO,5.09555562,2.21227784,
Germany,DEU,0.23247164,-1.81459195,-11.29460896
Ghana,GHA,7.92129838,4.90762035,
Greece,GRC,0.54493511,-1.15611965,
Hong Kong SAR (China),HKG,-3.03765486,-9.09660279,-8.99265623
Hungary,HUN,4.5,2.2,-13.6
Iceland,ISL,4.80293389,-1.71046797,-9.32994792
India,IND,4.0775164,3.08772264,-23.92212526
Indonesia,IDN,4.96510004,2.96599875,-5.3246283
Iran,IRN,1.7704918,-6.82529743,
Ireland,IRL,5.87167501,5.15021983,
Israel,ISR,3.7749703,0.27481241,-6.70776573
Italy,ITA,-0.00061586,-5.74887048,-18.02563525
Japan,JPN,-0.7041104,-1.80744224,-9.89697192
Jordan,JOR,4.11188634,1.33530585,
Kazakhstan,KAZ,5.06467936,,
Kenya,KEN,5.49406535,4.93210185,
Kosovo,KSV,3.94,1.29,
Kuwait,KWT,-1.1099255,-1.00830353,
Kyrgyzstan,KGZ,4.50713892,1.4815373,-5.28682165
Latvia,LVA,0.96225725,-1.47267595,-8.90259794
Lithuania,LTU,3.8190276,2.42213366,-3.84150354
Luxembourg,LUX,2.82533066,-0.18053843,
Macau SAR (China),MAC,-8.10973083,-48.70481956,-67.80800545
Malaysia,MYS,3.5520043,0.73352925,-17.07243031
Malta,MLT,4.96071908,1.3515594,-16.24826562
Mauritius,MUS,2.46650217,-1.99312715,
Mexico,MEX,-0.7325124,-1.3345432,-18.68001803
Moldova,MDA,0.18918849,0.87569198,
Mongolia,MNG,0.92377357,-10.67929773,-9.09192042
Montenegro,MNE,3.1,2.65298605,
Mozambique,MOZ,1.51040699,1.67631168,
Nepal,NPL,4.16178445,0.8254585,
Netherlands,NLD,1.62707932,-0.16119928,-9.30936692
New Zealand,NZL,1.74267984,-0.15911147,
Nigeria,NGA,2.55383748,1.86958097,-6.10404825
North Macedonia,MKD,3.41864845,0.15274559,
Norway,NOR,1.75997937,0.87139018,-4.72037086
Panama,PAN,3.33851182,0.44618577,
Paraguay,PRY,3.4901819,3.54055822,
Peru,PER,1.84989877,-3.49026787,-30.2358063
Philippines,PHL,6.65531675,-0.70869739,-16.48132127
Poland,POL,3.3970019,1.68792391,
Portugal,PRT,2.3,-2.1,
Qatar,QAT,-0.56354984,0.86560255,
Romania,ROU,4.26914278,2.37647619,
Russian Federation,RUS,2.11263447,1.63286243,
Saudi Arabia,SAU,-0.29567705,-1.00660589,
Serbia,SRB,6.20836143,5.0634286,-6.35974148
Singapore,SGP,1,-0.3,-13.2
Slovakia,SVK,2.08802084,-3.66541993,-14.20238377
Slovenia,SVN,1.68157499,-2.54893366,-12.96537619
South Africa,ZAF,-0.45328999,-0.09779735,
South Korea,KOR,2.31690227,1.37401465,-2.71793272
Spain,ESP,1.67473867,-3.74700411,-22.09412919
Sri Lanka,LKA,2.02718686,-1.60785601,
State of Palestine (West Bank and Gaza),PSE,-1.7923075,-3.43014585,
Sweden,SWE,0.74870146,0.66378583,-7.30441959
Switzerland,CHE,2.36021872,-0.73853742,-9.33257397
Taiwan,TWN,3.2859461,2.19810004,-0.58263659
Tajikistan,TJK,,,
Thailand,THA,1.48679318,-1.97302634,-12.15975232
Turkey,TUR,6.36226416,4.4386265,-9.90619584
Ukraine,UKR,1.5,-1.3,-11.4
United Arab Emirates,ARE,0.99614171,-0.28045095,
United Kingdom,GBR,1.39215816,-2.65024974,
United States,USA,2.47285084,0.55214545,-9.1328277
Uruguay,URY,0.22365222,-1.43227252,
Uzbekistan,UZB,5.56371451,4.05061435,0.2
Venezuela,VEN,,,
Vietnam,VNM,6.97,3.68,0.36
Zambia,ZMB,,,
